,Unnamed: 0,n,token,lemma,pos
311,311,35,καὶ,καί,d--------
312,312,36,κατὰ,κατά,r--------
313,313,37,θάλατταν,θάλασσα,n-s---fa-
314,314,38,καὶ,καί,d--------
315,315,39,ἐπειρᾶτο,πειράω,v3siie---
316,316,40,κατάγειν,κατάγω,v--pna---
317,317,41,τοὺς,ὁ,l-p---ma-
318,318,42,ἐκπεπτωκότας,ἐκπίπτω,v-prpama-
319,319,43,.,.,u--------
320,320,44,καὶ,καί,d--------
321,321,45,αὕτη,οὗτος,p-s---fn-
322,322,46,αὖ,αὖ,d--------
323,323,47,ἄλλη,ἄλλος,a-s---fn-
324,324,48,πρόφασις,πρόφασις,n-s---fn-
325,325,49,ἦν,εἰμί,v3siia---
326,326,50,αὐτῷ,αὐτός,p-s---md-
327,327,51,τοῦ,ὁ,l-s---mg-
328,328,52,ἁθροίζειν,ἀθροίζω,v--pna---
329,329,53,στράτευμα,στράτευμα,n-s---na-
330,330,54,.,.,u--------
331,331,1,πρὸς,πρός,r--------
332,332,2,δὲ,δέ,g--------
333,333,3,βασιλέα,βασιλεύς,n-s---ma-
334,334,4,πέμπων,πέμπω,v-sppamn-
335,335,5,ἠξίου,ἀξιόω,v3siia---
336,336,6,ἀδελφὸς,ἀδελφός,n-s---mn-
337,337,7,ὢν,εἰμί,v-sppamn-
338,338,8,αὐτοῦ,αὐτός,d--------
339,339,9,δοθῆναι,δίδωμι,v--anp---
340,340,10,οἷ,οἷ2,d--------
341,341,11,ταύτας,οὗτος,a-p---fa-
342,342,12,τὰς,ὁ,l-p---fa-
343,343,13,πόλεις,πόλις,n-p---fa-
344,344,14,μᾶλλον,μᾶλλον,d--------
345,345,15,ἢ,ἤ,c--------
346,346,16,Τισσαφέρνην,Τισσαφέρνης,n-s---ma-
347,347,17,ἄρχειν,ἄρχω,v--pna---
348,348,18,αὐτῶν,αὐτός,p-p---mg-
349,349,19,",",",",u--------
350,350,20,καὶ,καί,d--------
351,351,21,ἡ,ὁ,l-s---fn-
352,352,22,μήτηρ,μήτηρ,n-s---fn-
353,353,23,συνέπραττεν,συμπράσσω,v3siia---
354,354,24,αὐτῷ,αὐτός,p-s---md-
355,355,25,ταῦτα,οὗτος,p-p---na-
356,356,26,·,·,u--------
357,357,27,ὥστε,ὡς,d--------
358,358,28,βασιλεὺς,βασιλεύς,n-s---mn-
359,359,29,τὴν,ὁ,l-s---fa-
360,360,30,μὲν,μέν,g--------
361,361,31,πρὸς,πρός,r--------
362,362,32,ἑαυτὸν,ἑαυτοῦ,p-s---ma-
363,363,33,ἐπιβουλὴν,ἐπιβουλή,n-s---fa-
364,364,34,οὐκ,οὐ,d--------
365,365,35,ᾐσθάνετο,αἰσθάνομαι,v3siie---
366,366,36,",",",",u--------
367,367,37,Τισσαφέρνει,Τισσαφέρνης,n-s---md-
368,368,38,δʼ,δέ,g--------
369,369,39,ἐνόμιζε,νομίζω,v3siia---
370,370,40,πολεμοῦντα,πολεμόω,v-sppama-
371,371,41,αὐτὸν,αὐτός,p-s---ma-
372,372,42,ἀμφὶ,ἀμφί,r--------
373,373,43,τὰ,ὁ,l-p---na-
374,374,44,στρατεύματα,στράτευμα,n-p---na-
375,375,45,δαπανᾶν,δαπανάω,v--pna---
376,376,46,·,·,u--------
377,377,47,ὥστε,ὡς,d--------
378,378,48,οὐδὲν,οὐδείς,p-s---na-
379,379,49,ἤχθετο,ἔχθω,v3siie---
380,380,50,αὐτῶν,αὐτός,p-p---mg-
381,381,51,πολεμούντων,πολεμόω,v-pppamg-
382,382,52,.,.,u--------
383,383,53,καὶ,καί,d--------
384,384,54,γὰρ,γάρ,g--------
385,385,55,ὁ,ὁ,l-s---mn-
386,386,56,Κῦρος,Κῦρος,n-s---mn-
387,387,57,ἀπέπεμπε,ἀποπέμπω,v3siia---
388,388,58,τοὺς,ὁ,l-p---ma-
389,389,59,γιγνομένους,γίγνομαι,v-pppema-
390,390,60,δασμοὺς,δασμός,n-p---ma-
391,391,61,βασιλεῖ,βασιλεύς,n-s---md-
392,392,62,ἐκ,ἐκ,r--------
393,393,63,τῶν,ὁ,l-p---fg-
394,394,64,πόλεων,πόλις,n-p---fg-
395,395,65,ὧν,ὅς2,p-p---mg-
396,396,66,Τισσαφέρνους,Τισσαφέρνης,n-p---ma-
397,397,67,ἐτύγχανεν,τυγχάνω,v3siia---
398,398,68,ἔχων,ἔχω,v-sppamn-
